site type,truth site,proposal site,spatial overlap,temporal iot,temporal iop,min spatial distance,central spatial distance,max spatial distance,min temporal distance,central temporal distance,max temporal distance,truth activity start date,truth activity end date,proposal activity start date,proposal activity end date,model type
positive,KR_R002_0002,KR_R002_7012_test_2.0.0,,,,402.6204124807905,525.8142059854327,734.9393554675041,154,882,1610,2018-07-02,2018-07-02,2014-02-03,2018-01-29,point
positive,KR_R002_0004,KR_R002_7021_test_2.0.0,,,,477.9779268381246,548.1620078670188,632.3940250466654,0,-480,-997,2017-01-06,2017-01-06,2016-11-30,2019-09-30,point
positive,KR_R002_0005,KR_R002_7020_test_2.0.0,,,,141.02942341037505,486.26998742039797,1041.6136421692668,832,1424,2017,2019-08-13,2019-08-13,2014-02-03,2017-05-03,point
positive,KR_R002_0006,KR_R002_7002_test_2.0.0,,,,422.78660944260855,593.4717840083072,731.5136258255478,78,630,1183,2020-01-16,2020-01-16,2016-10-20,2019-10-30,point
positive,KR_R002_0006,KR_R002_7004_test_2.0.0,,,,368.8286881214611,884.0782173073969,1338.596482934813,818,1318,1819,2020-01-16,2020-01-16,2015-01-23,2017-10-20,point
positive,KR_R002_0007,KR_R002_7003_test_2.0.0,,,,466.36478543110076,634.4899203115056,821.5402144901134,0,340,904,2017-07-15,2017-07-15,2015-01-23,2018-02-23,point
positive,KR_R002_0010,KR_R002_7001_test_2.0.0,,,,399.9436313451241,513.5583026453586,644.2180518897818,0,19,632,2018-10-23,2018-10-23,2017-01-29,2020-06-08,point
positive,KR_R002_0013,KR_R002_7000_test_2.0.0,,,,426.243494317105,894.1764931516749,1444.183045014568,0,-135,-638,2016-01-26,2016-01-26,2015-01-23,2017-10-25,point
positive,KR_R002_0013,KR_R002_7003_test_2.0.0,,,,402.12991716821284,546.2696401967656,707.2704197293243,0,-196,-759,2016-01-26,2016-01-26,2015-01-23,2018-02-23,point
negative,KR_R002_0022,KR_R002_7014_test_2.0.0,,,,432.2609304737668,518.3225248978035,614.6834562637483,197,1148,2099,2019-11-03,2019-11-03,2014-02-03,2019-04-20,point
positive,KR_R002_0024,KR_R002_7008_test_2.0.0,,,,390.5000447454278,610.7066640869281,808.5232593102581,241,726,1212,2018-05-19,2018-05-19,2015-01-23,2017-09-20,point
positive,KR_R002_0028,KR_R002_7000_test_2.0.0,,,,320.459085049553,774.7090614917213,1321.5388814185117,0,28,531,2016-07-07,2016-07-07,2015-01-23,2017-10-25,point
positive,KR_R002_0028,KR_R002_7001_test_2.0.0,,,,431.8277117777809,543.7707066852555,641.7650766263484,-206,-819,-1432,2016-07-07,2016-07-07,2017-01-29,2020-06-08,point
positive,KR_R002_0029,KR_R002_7004_test_2.0.0,,,,398.04790274896794,911.483063338923,1373.1737532176985,837,1337,1838,2020-02-04,2020-02-04,2015-01-23,2017-10-20,point
positive,KR_R002_0031,KR_R002_7001_test_2.0.0,,,,434.1280539624567,526.1059073433869,633.5241499774933,0,357,970,2019-09-26,2019-09-26,2017-01-29,2020-06-08,point
positive,KR_R002_0031,KR_R002_7003_test_2.0.0,,,,358.16105663892404,544.3298422834384,713.5218607612735,580,1143,1707,2019-09-26,2019-09-26,2015-01-23,2018-02-23,point
positive,KR_R002_0032,KR_R002_7000_test_2.0.0,,,,233.31547575540628,569.2284173759062,1094.418296021541,248,751,1254,2018-06-30,2018-06-30,2015-01-23,2017-10-25,point
positive,KR_R002_0032,KR_R002_7002_test_2.0.0,,,,448.7691429469171,670.5282869821925,845.1932004126382,0,65,618,2018-06-30,2018-06-30,2016-10-20,2019-10-30,point
positive,KR_R002_0032,KR_R002_7004_test_2.0.0,,,,234.46276181257366,639.0419440677692,1098.956105991787,253,753,1254,2018-06-30,2018-06-30,2015-01-23,2017-10-20,point
positive_excluded,KR_R002_0035,KR_R002_7009_test_2.0.0,,,,156.35835644786604,338.68697775818555,495.9472605785526,1432,1847,2263,2021-04-04,2021-04-04,2015-01-23,2017-05-03,point
